'5','6'
'7','8'
'4','5'
'4','7'
'10','11'
'12','13'
'9','10'
'9','12'
'3','4'
'3','9'
'16','17'
'18','19'
'15','16'
'15','18'
'21','22'
'23','24'
'23','25'
'20','21'
'20','23'
'14','15'
'14','20'
'2','3'
'2','14'
'29','30'
'31','32'
'28','29'
'28','31'
'34','35'
'36','37'
'33','34'
'33','36'
'27','28'
'27','33'
'40','41'
'42','43'
'39','40'
'39','42'
'45','46'
'47','48'
'47','49'
'44','45'
'44','47'
'38','39'
'38','44'
'26','27'
'26','38'
'1','2'
'1','26'
'54','55'
'56','57'
'53','54'
'53','56'
'59','60'
'61','62'
'58','59'
'58','61'
'52','53'
'52','58'
'65','66'
'67','68'
'64','65'
'64','67'
'70','71'
'72','73'
'72','74'
'69','70'
'69','72'
'63','64'
'63','69'
'51','52'
'51','63'
'78','79'
'80','81'
'77','78'
'77','80'
'83','84'
'85','86'
'85','87'
'82','83'
'82','85'
'76','77'
'76','82'
'90','91'
'92','93'
'89','90'
'89','92'
'95','96'
'97','98'
'97','99'
'94','95'
'94','97'
'88','89'
'88','94'
'75','76'
'75','88'
'50','51'
'50','75'
'0','1'
'0','50'
